Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,C_LTH,C_LTA,C_VHD,C_VAD,C_HTB,C_PHB,Season
D1,2022-08-05,19:30:00,Ein Frankfurt,Bayern Munich,1737.03,1957.97,2.0,3.0,2.0,8.0,1.0,6.0,A,0.0,5.0,A,8.0,23.0,2.0,10.0,10.0,11.0,5.0,6.0,2.0,0.0,0.0,0.0,5.82,4.96,1.49,6.15,5.25,1.6,1.39,2.94,1.44,3.2,1.3,1.91,2.02,0.0303,0.0602,0.0099,0.6338,0.2241,0.0416,2022-2023
D1,2022-08-06,17:30:00,Dortmund,Leverkusen,1799.7,1794.64,6.0,9.0,9.0,12.0,1.0,0.0,H,1.0,0.0,H,13.0,8.0,4.0,3.0,14.0,13.0,3.0,3.0,2.0,4.0,0.0,1.0,2.06,4.12,3.19,2.12,4.36,3.34,1.39,3.01,1.43,3.2,-0.5,2.06,1.87,0.0167,0.0197,0.0099,0.644,0.2905,0.0192,2022-2023
D1,2022-08-06,14:30:00,Wolfsburg,Werder Bremen,1681.74,1596.97,5.0,8.0,6.0,10.0,2.0,2.0,D,1.0,2.0,A,13.0,10.0,3.0,5.0,11.0,14.0,2.0,5.0,2.0,2.0,0.0,0.0,1.88,3.74,4.06,1.94,3.85,4.3,1.78,2.06,1.84,2.13,-0.5,1.91,2.02,0.1586,0.5864,0.0332,0.0263,0.0756,0.1199,2022-2023
D1,2022-08-06,14:30:00,Union Berlin,Hertha,1730.74,1598.68,7.0,13.0,1.0,7.0,3.0,1.0,H,1.0,0.0,H,18.0,9.0,8.0,3.0,23.0,17.0,5.0,4.0,2.0,3.0,0.0,0.0,1.77,3.73,4.7,1.82,3.9,5.0,2.0,1.83,2.06,1.9,-0.8,2.01,1.92,0.0493,0.704,0.0557,0.0235,0.1119,0.0556,2022-2023
D1,2022-08-06,14:30:00,Bochum,Mainz,1613.3,1680.2,6.0,6.0,7.0,8.0,1.0,2.0,A,1.0,1.0,D,16.0,13.0,3.0,6.0,11.0,16.0,3.0,5.0,2.0,3.0,0.0,0.0,3.23,3.42,2.26,3.38,3.5,2.32,1.93,1.89,2.02,1.97,0.3,1.95,1.98,0.0943,0.4329,0.229,0.01,0.0611,0.1727,2022-2023
D1,2022-08-06,14:30:00,Augsburg,Freiburg,1616.25,1718.67,3.0,6.0,3.0,7.0,0.0,4.0,A,0.0,0.0,D,10.0,19.0,2.0,7.0,13.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,3.39,3.51,2.15,3.57,3.62,2.25,1.88,1.93,1.94,2.0,0.3,2.06,1.87,0.0262,0.2636,0.0124,0.1626,0.4598,0.0754,2022-2023
D1,2022-08-06,14:30:00,MGladbach,Hoffenheim,1711.59,1664.12,7.0,8.0,0.0,2.0,3.0,1.0,H,1.0,1.0,D,18.0,2.0,8.0,1.0,18.0,12.0,4.0,2.0,1.0,4.0,0.0,1.0,2.14,4.04,3.05,2.23,4.22,3.26,1.37,3.09,1.44,3.27,-0.3,1.91,2.02,0.0554,0.0337,0.1148,0.0099,0.076,0.7102,2022-2023
D1,2022-08-07,14:30:00,Stuttgart,RB Leipzig,1620.82,1811.47,5.0,6.0,4.0,7.0,1.0,1.0,D,1.0,1.0,D,11.0,27.0,2.0,9.0,14.0,9.0,1.0,9.0,2.0,1.0,0.0,0.0,4.35,3.92,1.79,4.67,4.12,1.84,1.75,2.09,1.82,2.17,0.8,1.89,2.04,0.0207,0.0391,0.5037,0.0099,0.4151,0.0115,2022-2023
D1,2022-08-07,16:30:00,FC Koln,Schalke 04,1679.38,1578.8,3.0,9.0,9.0,12.0,3.0,1.0,H,0.0,0.0,D,30.0,6.0,10.0,2.0,8.0,10.0,9.0,1.0,0.0,1.0,0.0,1.0,1.73,4.14,4.48,1.8,4.33,4.88,1.54,2.47,1.58,2.55,-0.8,1.93,2.0,0.0251,0.0289,0.0103,0.0495,0.8552,0.031,2022-2023
D1,2022-08-12,19:30:00,Freiburg,Dortmund,1718.67,1799.7,3.0,7.0,9.0,9.0,1.0,3.0,A,1.0,0.0,H,16.0,16.0,7.0,7.0,16.0,10.0,9.0,2.0,1.0,3.0,0.0,0.0,3.06,3.74,2.25,3.18,3.9,2.33,1.58,2.4,1.63,2.49,0.3,1.93,1.97,0.684,0.0213,0.01,0.1925,0.0595,0.0328,2022-2023
